ID SENTENÇA;SENTENÇA;ID EXTRAÇÃO;ARG1;REL;ARG2;COERÊNCIA;MINIMALIDADE;MÓDULO SUJEITO;MÓDULO RELAÇÃO;MÓDULO ARG2;
"9";"Acaba ouvindo mais intensamente o barulho seguinte e ficando mais irritado quando ele surge . ";"1.0";"Acaba ";" ouvindo";"mais intensamente o barulho seguinte ";"";"";"1";"1";"1";
"10";"Isso é legitimamente horrível . ";"1.0";"Isso ";" é";"legitimamente horrível ";"";"";"1";"1";"1";
"11";"É justo dizer que Rocco Catalano trabalha , vive e respira retro . ";"";"";"";"";"";"";"";"";
"12";"Penso que é por isso que eles se imergiram em padrões e cor . ";"";"";"";"";"";"";"";"";
"13";"Catalano voltou para a área depois de viver em Londres e em Glasgow , onde estudou design de jóias en a Glasgow School of Art . ";"1.0";"Catalano ";" voltou";"para a área ";"";"";"1";"1";"1";
"";"";"2.0";"Catalano ";" voltou";"para a área depois de viver em Londres ";"";"";"1";"1";"1";
"";"";"3.0";"Catalano ";" voltou";"para a área depois de viver em Londres e em Glasgow , onde estudou design de jóias ";"";"";"1";"1";"1";
"";"";"4.0";"Catalano ";" voltou";"para a área depois de viver em Londres e em Glasgow , onde estudou design de jóias en a Glasgow School of Art ";"";"";"1";"1";"1";
"";"";"5.0";"Catalano ";" voltou";"depois de viver em Londres ";"";"";"1";"1";"0";
"";"";"6.0";"Catalano ";" voltou";"depois de viver e em Glasgow , onde estudou design de jóias ";"";"";"1";"1";"0";
"";"";"7.0";"Catalano ";" voltou";"depois de viver e em Glasgow , onde estudou en a Glasgow School of Art ";"";"";"1";"1";"0";
"14";"Eu adorei as cores tropicais , diz ele . ";"1.0";"Eu ";" adorei";"as cores tropicais ";"";"";"1";"1";"1";
"";"";"2.0";"Eu ";" adorei";"as cores tropicais , diz ele ";"";"";"1";"1";"1";
"15";"Eu visitei os espetáculos universitários en a Universidade de Northampton para encontrar novos talentos , diz ele . ";"1.0";"Eu ";" visitei";"os espetáculos universitários ";"";"";"1";"1";"1";
"";"";"2.0";"Eu ";" visitei";"os espetáculos universitários en a Universidade de Northampton ";"";"";"1";"1";"1";
"";"";"3.0";"Eu ";" visitei";"os espetáculos universitários en a Universidade de Northampton para encontrar novos talentos ";"";"";"1";"1";"1";
"";"";"4.0";"Eu ";" visitei";"os espetáculos universitários en a Universidade de Northampton para encontrar novos talentos , diz ";"";"";"1";"1";"1";
"";"";"5.0";"Eu ";" visitei";"os espetáculos universitários para encontrar novos talentos ";"";"";"1";"1";"0";
"";"";"6.0";"Eu ";" visitei";"os espetáculos universitários , diz ";"";"";"1";"1";"0";
"16";"Mas , quando eu sugiro que ela use a Frank como sua modelo , ela ri . ";"1.0";"eu ";" sugiro";"";"";"";"1";"1";"1";
"";"";"2.0";"ela ";" use";"a Frank ";"";"";"1";"1";"1";
"";"";"3.0";"ela ";" use";"a Frank como sua modelo ";"";"";"1";"1";"1";
"17";"Naturalmente , a paisagem de o escritório apresenta muitas roupas e , en o sentido de comida , pouco . ";"1.0";"a paisagem de o escritório ";" apresenta";"muitas roupas ";"";"";"1";"1";"1";
"";"";"2.0";"a paisagem de o escritório ";" apresenta";"muitas roupas e , en o sentido de comida , pouco ";"";"";"1";"1";"1";
"";"";"3.0";"a paisagem de o escritório ";" apresenta";"muitas roupas Naturalmente ";"";"";"1";"1";"1";
"18";"A própria Wintour aparece rapidamente , e é filmada colocando seus óculos de sol antes de ser entrevistada . ";"";"";"";"";"";"";"";"";
"19";"Olhei para o motocross e quanto mais olhava , continuava a surgir a cara desta mulher , em fotografias que pareciam ser de os anos 70 . ";"1.0";"que ";" pareciam ser";"de os anos 70 ";"";"";"1";"1";"1";
"20";"Amo jogar com isso e estou sempre a a procura de musas que se encaixem , porque é tão interessante fazer uma coleção quando encontro uma . ";"1.0";"Amo ";" jogar";"com isso ";"";"";"1";"1";"1";
"21";"en a melhor de as hipóteses , é ingênuo e , en a pior , deixaria novamente o lobby de as armas fora de os problemas . ";"";"";"";"";"";"";"";"";
"22";"O seu representante de políticas de a natureza , Jeff Knott , declarou : " Eu ficaria espantado se uma proibição ou um licenciamento fosse com base nestes fundamentos " . ";"1.0";"uma proibição ou um licenciamento ";" fosse";"com base nestes fundamentos ";"";"";"1";"1";"1";
"";"";"2.0";"uma proibição ou um licenciamento ";" fosse";"com base nestes fundamentos "" ";"";"";"1";"1";"1";
"23";"A postura de o RSPB também o colocou em conflito com muitos líderes conservadores , desde o autor de a petição , Mark Avery , a o apresentador de TV Chris Packham . ";"1.0";"A postura de o RSPB ";" também o colocou";"em conflito ";"";"";"1";"1";"1";
"";"";"2.0";"A postura de o RSPB ";" também o colocou";"em conflito com muitos líderes conservadores , desde o autor de a petição ";"";"";"1";"1";"1";
"";"";"3.0";"A postura de o RSPB ";" também o colocou";"em conflito com muitos líderes conservadores , desde o autor de a petição , Mark Avery , a o apresentador de TV Chris Packham ";"";"";"1";"1";"1";
"";"";"4.0";"A postura de o RSPB ";" também o colocou";"com muitos líderes conservadores , desde o autor de a petição ";"";"";"1";"1";"0";
"";"";"5.0";"A postura de o RSPB ";" também o colocou";"com muitos líderes conservadores , desde o autor ";"";"";"1";"1";"0";
"";"";"6.0";"A postura de o RSPB ";" também o colocou";"com muitos líderes conservadores , desde o autor Mark Avery , a o apresentador de TV Chris Packham ";"";"";"1";"1";"0";
"24";"Vamos simplesmente dizer que ele está errado . ";"1.0";"ele ";" está";"errado ";"";"";"1";"1";"1";
"25";"E a posição de a Austrália ? ";"";"";"";"";"";"";"";"";
"26";"Nisto , um ponto diário em Marrocos será em pleno sábado , quando países desenvolvidos se questionam publicamente sobre seus planos e ambições . ";"1.0";"Nisto ";" será";"em pleno sábado ";"";"";"1";"1";"1";
"";"";"2.0";"países desenvolvidos ";" se questionam";"publicamente sobre seus planos e ambições ";"";"";"1";"1";"1";
"";"";"3.0";"países desenvolvidos ";" se questionam";"sobre seus planos e ambições ";"";"";"1";"1";"0";
"27";"Estamos ativamente a a procura de formas possíveis de limitar o âmbito de o litígio para apenas aqueles que tenham uma posição real en o projeto , foi citado . ";"1.0";"que ";" tenham";"uma posição real ";"";"";"1";"1";"1";
"";"";"2.0";"que ";" tenham";"uma posição real en o projeto ";"";"";"1";"1";"1";
"28";"O bacalhau de o mar Céltico pode colapsar , sem os limites propostos , disse um oficial de a UE . ";"1.0";"O bacalhau de o mar ";" pode colapsar";"sem os limites propostos ";"";"";"1";"1";"1";
"";"";"2.0";"O bacalhau de o mar ";" pode colapsar";"sem os limites propostos , disse um oficial de a UE ";"";"";"1";"1";"1";
"";"";"3.0";"O bacalhau de o mar ";" pode colapsar";"disse um oficial de a UE ";"";"";"1";"1";"0";
"29";"Mas foram também previstas grandes promoções para o bacalhau , a solha , o linguado , o linguado - areeiro e o escamudo , en os mares Celtas e Irlandeses . ";"1.0";"grandes promoções para o bacalhau , a solha ";" foram também previstas";"o linguado ";"";"";"1";"1";"1";
"";"";"2.0";"grandes promoções para o bacalhau , a solha ";" foram também previstas";"o linguado , o linguado - areeiro e o escamudo , en os mares Celtas e Irlandeses ";"";"";"1";"1";"1";
"";"";"3.0";"grandes promoções para o bacalhau , a solha ";" foram também previstas";"o linguado o linguado - areeiro e o escamudo , en os mares Celtas e Irlandeses ";"";"";"1";"1";"0";
"30";"Os conservacionistas saudaram o anúncio de a comissão . ";"1.0";"Os conservacionistas ";" saudaram";"o anúncio de a comissão ";"";"";"1";"1";"1";
"31";"Apenas 50 eram mercados . ";"";"";"";"";"";"";"";"";
"32";"O Agora foi apenas por convite , mas muitos destes mercados estão facilmente acessíveis se você souber como pesquisar , acrescenta o Dr. Lee . ";"1.0";"O ";" Agora foi";"apenas por convite ";"";"";"1";"1";"1";
"";"";"2.0";"O ";" Agora foi";"por convite ";"";"";"1";"1";"0";
"";"";"3.0";"Agora foi apenas por convite ";" acrescenta";"o Dr. Lee ";"";"";"1";"1";"1";
"";"";"4.0";"muitos destes mercados ";" estão";"facilmente acessíveis ";"";"";"1";"1";"1";
"";"";"5.0";"você ";" souber";"pesquisar como ";"";"";"1";"1";"1";
"33";"Eles não os tinham en o nosso tempo , e pessoas sem crianças se expressam através de a sua desaprovação , o seu ódio por a parentalidade moderna . ";"1.0";"Eles ";" não os tinham";"en o nosso tempo ";"";"";"1";"1";"1";
"";"";"2.0";"Eles ";" não os tinham";"en o nosso tempo , e pessoas sem crianças se expressam através de a sua desaprovação , o seu ódio por a parentalidade moderna ";"";"";"1";"1";"1";
"";"";"3.0";"Eles ";" não os tinham";"o seu ódio por a parentalidade moderna ";"";"";"1";"1";"0";
"34";"Não o chamo de besta levemente . ";"";"";"";"";"";"";"";"";
"35";"Dia três , eu estava de volta en o EMicro . ";"1.0";"eu ";" estava";"de volta ";"";"";"1";"1";"1";
"";"";"2.0";"eu ";" estava";"de volta en o EMicro ";"";"";"1";"1";"1";
"";"";"3.0";"eu ";" estava";"Dia três ";"";"";"1";"1";"1";
"";"";"4.0";"eu ";" estava";"en o EMicro ";"";"";"1";"1";"0";
"36";"O mundo - e , por extensão , o Reino Unido - está enfrentando uma escassez de pessoas com as habilidades necessárias para montar uma defesa eficaz . ";"1.0";"o Reino Unido ";" está enfrentando";"uma escassez de pessoas ";"";"";"1";"1";"1";
"";"";"2.0";"o Reino Unido ";" está enfrentando";"uma escassez de pessoas , por extensão ";"";"";"1";"1";"1";
"37";"As empresas podem tentar criar um firewall entre sistemas sensíveis e potências estrangeiras , mas nem sempre funciona . ";"1.0";"As empresas ";" podem tentar";"criar um firewall entre sistemas sensíveis e potências estrangeiras ";"";"";"1";"1";"1";
"";"";"2.0";"As empresas ";" podem tentar";"criar um firewall entre sistemas sensíveis e potências estrangeiras , mas nem sempre funciona ";"";"";"1";"1";"1";
"38";"Mas eles podem por o menos colocar armadilhas para confundir e impedir - um conceito conhecido como " defesa ativa " . ";"1.0";"eles ";" podem por o menos colocar";"armadilhas ";"";"";"1";"1";"1";
"";"";"2.0";"eles ";" podem por o menos colocar";"armadilhas para confundir e impedir - um conceito conhecido como "" defesa ativa "" ";"";"";"1";"1";"1";
"39";"Depois de ter descoberto uma rica discussão en a internet sobre o assunto , a minha lista cresceu muito e cobriu quase todos os estados de a união . ";"1.0";"a minha lista ";" cresceu";"Depois de ter descoberto uma rica discussão en a internet ";"";"";"1";"1";"1";
"";"";"2.0";"a minha lista ";" cresceu";"Depois de ter descoberto uma rica discussão en a internet sobre o assunto ";"";"";"1";"1";"1";
"40";"Eu avistei algumas . ";"1.0";"Eu ";" avistei";"algumas ";"";"";"1";"1";"1";
"41";"A minha próxima parada foi Bellingham , bem perto de a fronteira canadense . ";"1.0";"A minha próxima parada ";" foi";"Bellingham , bem perto de a fronteira canadense ";"";"";"1";"1";"1";
"42";"De volta a o trem , nós continuamos em direção a o o sul . ";"1.0";"volta nós a o trem ";" continuamos";"em direção a o o sul ";"";"";"1";"1";"1";
"43";"Uma cidade pequena , com dois minaretes , desliza . ";"";"";"";"";"";"";"";"";
"44";"Em cada estação , um guarda de chapéu vermelho comanda a plataforma e um trabalhador anda a o longo de o trem com um martelo , batendo gentilmente en a parte de baixo de a carruagem . ";"1.0";"um guarda de chapéu vermelho ";" comanda";"a plataforma ";"";"";"1";"1";"1";
"";"";"2.0";"um guarda de chapéu vermelho ";" comanda";"a plataforma e um trabalhador anda a o longo de o trem ";"";"";"1";"1";"1";
"";"";"3.0";"um guarda de chapéu vermelho ";" comanda";"a plataforma e um trabalhador anda a o longo de o trem com um martelo ";"";"";"1";"1";"1";
"";"";"4.0";"um guarda de chapéu vermelho ";" comanda";"a plataforma e um trabalhador anda a o longo de o trem com um martelo , batendo gentilmente ";"";"";"1";"1";"1";
"";"";"5.0";"um guarda de chapéu vermelho ";" comanda";"a plataforma e um trabalhador anda a o longo de o trem com um martelo , batendo gentilmente en a parte de baixo de a carruagem ";"";"";"1";"1";"1";
"";"";"6.0";"um guarda de chapéu vermelho ";" comanda";"a plataforma Em cada estação ";"";"";"1";"1";"1";
"";"";"7.0";"um guarda de chapéu vermelho ";" comanda";"a plataforma com um martelo ";"";"";"1";"1";"0";
"";"";"8.0";"um guarda de chapéu vermelho ";" comanda";"a plataforma , batendo gentilmente ";"";"";"1";"1";"0";
"";"";"9.0";"um guarda de chapéu vermelho ";" comanda";"a plataforma , batendo en a parte de baixo de a carruagem ";"";"";"1";"1";"0";
"";"";"10.0";"um trabalhador ";" anda";"a o longo de o trem ";"";"";"1";"1";"1";
"";"";"11.0";"um trabalhador ";" anda";"a o longo de o trem com um martelo ";"";"";"1";"1";"1";
"";"";"12.0";"um trabalhador ";" anda";"a o longo de o trem com um martelo , batendo gentilmente ";"";"";"1";"1";"1";
"";"";"13.0";"um trabalhador ";" anda";"a o longo de o trem com um martelo , batendo gentilmente en a parte de baixo de a carruagem ";"";"";"1";"1";"1";
"";"";"14.0";"um trabalhador ";" anda";"com um martelo ";"";"";"1";"1";"0";
"";"";"15.0";"um trabalhador ";" anda";"batendo gentilmente ";"";"";"1";"1";"0";
"";"";"16.0";"um trabalhador ";" anda";"batendo en a parte de baixo de a carruagem ";"";"";"1";"1";"0";
"45";"Depois , procure en o mercado matinal ( 6:30 - 10:00 ) : pirulitos de arroz , casulos de vespa ( as pupas são consideradas um petisco ) , asas de frango , casca e folhas de moscadeira , sapos vivos e bagre . ";"1.0";"pirulitos de arroz ";" são consideradas um petisco";"";"";"";"1";"1";"1";
"";"";"2.0";"pirulitos de arroz ";" são consideradas";"um petisco ";"";"";"1";"5";"1";
"46";"A intervenção de Pequim é , possivelmente , a de maior alcance , desde a entrega de Hong Kong por o Reino Unido em 1997 . ";"";"";"";"";"";"";"";"";
"47";"O juramento envolve legisladores jurando lealdade a Hong Kong , como parte de a República Popular de a China . ";"1.0";"O juramento ";" envolve";"legisladores jurando lealdade a Hong Kong ";"";"";"1";"1";"1";
"";"";"2.0";"O juramento ";" envolve";"legisladores jurando lealdade a Hong Kong , como parte de a República Popular de a China ";"";"";"1";"1";"1";
"48";"O governo de Hong Kong , que é liderado por legisladores pró - Pequim , argumentou que o par não deve tomar posse . ";"1.0";"que ";" é liderado";"por legisladores pró - Pequim ";"";"";"1";"1";"1";
"";"";"2.0";"o par ";" não deve tomar";"posse ";"";"";"1";"1";"1";
"49";"Pequim acredita que a sua intervenção é necessária para evitar a paralisia legislativa contínua en a cidade , disse ele . ";"1.0";"a sua intervenção ";" é";"necessária ";"";"";"1";"1";"1";
"";"";"2.0";"a sua intervenção ";" é";"necessária para evitar a paralisia legislativa contínua ";"";"";"1";"1";"1";
"";"";"3.0";"a sua intervenção ";" é";"necessária para evitar a paralisia legislativa contínua en a cidade ";"";"";"1";"1";"1";
"";"";"4.0";"a sua intervenção ";" é";"necessária en a cidade ";"";"";"1";"1";"0";
"50";"Entretanto , Hong Kong , parece estar se preparando para uma onda de protestos . ";"1.0";"Hong Kong ";" estar se preparando";"para uma onda de protestos ";"";"";"1";"1";"1";
"";"";"2.0";"Hong Kong ";" estar se preparando";"Entretanto ";"";"";"1";"1";"1";
"";"";"3.0";"Hong Kong ";" estar se preparando";"Entretanto , parece ";"";"";"1";"1";"1";
"51";"Ele disse en o Andrew Marr Show de a BBC : " Uma eleição legislativa é francamente a última coisa que o Governo quer . " ";"1.0";"Ele ";" disse";"en o Andrew Marr Show de a BBC ";"";"";"1";"1";"1";
"";"";"2.0";"o Governo ";" quer";"que ";"";"";"1";"1";"1";
"52";"É o sonho dele terminar a sua carreira aqui . ";"";"";"";"";"";"";"";"";
"53";"Empatar um jogo que você dominou é simples de esquecer , mas fazê - lo três vezes em seguida sugere fraqueza . ";"1.0";"um jogo ";" é";"simples de esquecer ";"";"";"1";"1";"1";
"";"";"2.0";"você ";" dominou";"que ";"";"";"1";"1";"1";
"54";"Estávamos tão desapontados porque perdemos seis pontos jogando em casa . ";"";"";"";"";"";"";"";"";
"55";"Esse foi , sem dúvida , o caso de Andy quando enfrentou Benoît Paire , em Monte Carlo , em abril . ";"1.0";"Esse ";" foi";"sem dúvida ";"";"";"1";"1";"1";
"";"";"2.0";"o caso de Andy ";" foi";"sem dúvida ";"";"";"1";"1";"1";
"56";"Mas agora tudo está fora de questão e ele parece estar a a procura de respostas a toda hora . ";"1.0";"tudo ";" está";"fora de questão ";"";"";"1";"1";"1";
"";"";"2.0";"tudo ";" está";"fora de questão e ele parece estar a a procura de respostas ";"";"";"1";"1";"1";
"";"";"3.0";"tudo ";" está";"fora de questão e ele parece estar a a procura de respostas a toda hora ";"";"";"1";"1";"1";
"";"";"4.0";"tudo ";" está";"agora ";"";"";"1";"1";"1";
"";"";"5.0";"tudo ";" está";"e ele parece estar a a procura de respostas ";"";"";"1";"1";"0";
"";"";"6.0";"tudo ";" está";"e ele parece estar a toda hora ";"";"";"1";"1";"0";
"";"";"7.0";"ele ";" parece";"estar a a procura de respostas ";"";"";"1";"1";"1";
"";"";"8.0";"ele ";" parece";"estar a a procura de respostas a toda hora ";"";"";"1";"1";"1";
"57";"Eu também penso se a Taça Davis desempenhou algum papel . ";"1.0";"a Taça Davis ";" desempenhou";"algum papel ";"";"";"1";"1";"1";
"58";"A pesquisa anual também revelou que as preocupações sobre assumir novos encargos financeiros têm disparado . ";"1.0";"A pesquisa anual ";" também revelou";"que as preocupações sobre assumir novos encargos financeiros ";"";"";"1";"1";"1";
"";"";"2.0";"A pesquisa anual ";" também revelou";"que as preocupações sobre assumir novos encargos financeiros têm disparado ";"";"";"1";"1";"1";
"";"";"3.0";"A pesquisa anual ";" também revelou";"que as preocupações sobre assumir têm disparado ";"";"";"1";"1";"0";
"59";"O senhor Hopley acrescentou : " O aumento de o risco político não deve passar despercebido " . ";"";"";"";"";"";"";"";"";
"60";"A notícia de a fraude de a companhia - que tinha funcionado durante anos - limpou dezenas de bilhões de euros de o valor de a VW e custou a o executivo principal , Martin Winterkorn , o seu trabalho . ";"1.0";"A notícia de a fraude de a companhia - ";" limpou";"dezenas de bilhões de euros de o valor de a VW ";"";"";"1";"1";"1";
"";"";"2.0";"A notícia de a fraude de a companhia - ";" limpou";"dezenas de bilhões de euros de o valor de a VW , Martin Winterkorn ";"";"";"1";"1";"1";
"";"";"3.0";"A notícia de a fraude de a companhia - ";" limpou";"dezenas de bilhões de euros de o valor de a VW , Martin Winterkorn , o seu trabalho ";"";"";"1";"1";"1";
"";"";"4.0";"A notícia de a fraude de a companhia - ";" limpou";"dezenas de bilhões de euros de o valor de a VW durante anos - ";"";"";"1";"1";"1";
"";"";"5.0";"A notícia de a fraude de a companhia - ";" limpou";"dezenas de bilhões de euros de o valor de a VW o seu trabalho ";"";"";"1";"1";"0";
"61";"Isso também abriu a VW para reivindicações e ações legais imensas , e viu elas levarem mais que € 16 bilhões de provisões . ";"1.0";"Isso ";" também abriu";"a VW ";"";"";"1";"1";"1";
"";"";"2.0";"Isso ";" também abriu";"a VW para reivindicações e ações legais imensas ";"";"";"1";"1";"1";
"";"";"3.0";"elas ";" levarem";"mais que € 16 bilhões ";"";"";"1";"1";"1";
"";"";"4.0";"elas ";" levarem";"mais que € 16 bilhões de provisões ";"";"";"1";"1";"1";
"";"";"5.0";"elas ";" levarem";"que € 16 bilhões ";"";"";"1";"1";"0";
"";"";"6.0";"elas ";" levarem";"que € de provisões ";"";"";"1";"1";"0";
"62";"A sondagem começou em junho , com foco en o Sr. Winterkorn e en o chefe de marca , Herbert Diess , que permanece en a fabricante de automóveis . ";"1.0";"A sondagem ";" começou";"em junho ";"";"";"1";"1";"1";
"";"";"2.0";"A sondagem ";" começou";"em junho , com foco en o Sr. Winterkorn ";"";"";"1";"1";"1";
"";"";"3.0";"A sondagem ";" começou";"em junho , com foco en o Sr. Winterkorn e en o chefe de marca , Herbert Diess ";"";"";"1";"1";"1";
"";"";"4.0";"A sondagem ";" começou";"em junho , com foco en o Sr. Winterkorn e en o chefe de marca , Herbert Diess , que permanece en a fabricante de automóveis ";"";"";"1";"1";"1";
"";"";"5.0";"A sondagem ";" começou";"com foco en o Sr. Winterkorn ";"";"";"1";"1";"0";
"";"";"6.0";"A sondagem ";" começou";"com foco en o Sr. e en o chefe de marca , Herbert Diess ";"";"";"1";"1";"0";
"";"";"7.0";"A sondagem ";" começou";"com foco en o Sr. , que permanece en a fabricante de automóveis ";"";"";"1";"1";"0";
"";"";"8.0";"que ";" permanece";"en a fabricante de automóveis ";"";"";"1";"1";"1";
"63";"Ele foi promovido a presidente em outubro de 2015 , o mês seguinte a o escândalo ter sido descoberto . ";"";"";"";"";"";"";"";"";
"64";"As empresas esperavam começar a decrescer em julho , imediatamente após o voto de o Brexit , mas em vez disso têm conseguido manter o crescimento constante . ";"1.0";"As empresas ";" esperavam";"começar a decrescer em julho ";"";"";"1";"1";"1";
"";"";"2.0";"As empresas ";" esperavam";"começar a decrescer em julho , imediatamente após o voto de o Brexit ";"";"";"1";"1";"1";
"";"";"3.0";"As empresas ";" esperavam";"começar a decrescer em julho , imediatamente após o voto de o Brexit , mas em vez disso têm conseguido manter o crescimento constante ";"";"";"1";"1";"1";
"65";"Os negócios de varejo e atacado se expandiram , uma vez que os lojistas continuam otimistas e as companhias de serviço a o cliente também cresceram . ";"1.0";"Os negócios de varejo ";" também cresceram";"se expandiram , uma vez que os lojistas continuam otimistas e as companhias de serviço a o cliente ";"";"";"1";"1";"1";
"";"";"2.0";"que os lojistas ";" continuam";"otimistas ";"";"";"1";"1";"1";
"66";"en o entanto , haverá limites para a sua capacidade de gastar uma vez que o Governo ainda tem um grande déficit orçamental . ";"1.0";"o Governo ";" ainda tem";"um grande déficit orçamental ";"";"";"1";"1";"1";
"67";"O custo vai mudar mensalmente e é esperado que o preço aumente en o inverno , tal como o uso aumenta . ";"1.0";"o preço ";" aumente";"en o inverno ";"";"";"1";"1";"1";
"";"";"2.0";"preço que aumente , tal ";" aumenta";"como o uso ";"";"";"1";"1";"1";
"68";"A taxa fixa de a Eon custa £ 760 e os clientes de a Avro Energy pagariam cerca de £ 760 por a sua tarifa Simple and Select . ";"1.0";"A taxa fixa de a Eon ";" custa";"760 e os clientes de a Avro Energy ";"";"";"1";"1";"1";
"";"";"2.0";"A taxa fixa de a Eon ";" custa";"760 e os clientes de a Avro Energy pagariam £ 760 ";"";"";"1";"1";"1";
"";"";"3.0";"A taxa fixa de a Eon ";" custa";"760 e os clientes de a Avro Energy pagariam £ 760 por a sua tarifa Simple and ";"";"";"1";"1";"1";
"";"";"4.0";"A taxa fixa de a Eon ";" custa";"760 e os clientes de a Avro Energy por a sua tarifa Simple and ";"";"";"1";"1";"0";
"69";"Ou é um classe cara ou uma tarifa de pré - pagamento ? ";"";"";"";"";"";"";"";"";
