"ID","SENTENCE","ARG1","REL","ARG2","CONTEXT","A","M","ERR","NORMAL","TRANSITIVE","SYMMETRIC","CONTEXTUAL","INTENTIONAL"
"18","Nessa fase, as seis equipes juntas acumularam 12 vitórias, quatro empates e duas derrotas .","as seis equipes ","juntas acumularam ","12 vitórias ","","1","1","","1","0","0","0","0"
"","","as seis equipes ","juntas acumularam ","12 quatro ","","0","0","1","1","0","0","0","0"
"19","O piloto da Jordan acha muito difícil baixar do 1min18s, mas disse que o carro se comportou bem .","O piloto da  Jordan ","acha muito ","difícil "," mas disse que o carro se comportou bem","1","1","","1","0","0","1","0"
"","","muito difícil ","baixar do   ","1min18s "," mas disse que o carro se comportou bem","0","","1.2","1","0","0","1","0"
"20","Na prática os governos costumam se esquecer de fazer a sua parte, dão o mau exemplo e assim inspiram uma insatisfação generalizada .","os governos ","costumam esquecer de fazer ","a sua parte ","","1","1","","1","0","0","0","0"
"","","a sua parte ","dão o mau exemplo","uma insatisfação generalizada ","","0","","1.2","1","0","0","0","0"
"","","a sua parte ","inspiram ","uma insatisfação generalizada ","","0","","1.2","1","0","0","0","0"
"21","Pantaleão Mansi, muito lúcido e inteligente, diz viver como se estivesse no século passado .","Pantaleão_Mansi ","diz viver como estivesse no   ","século passado ","","1","1","","1","0","0","0","0"
"22","A URV é calculada a partir de uma média de índices de inflação .","A URV ","é calculada a_partir_de ","uma média de índices de inflação ","","1","0","","1","0","0","0","0"
"23","A denúncia é submetida à análise do órgão do Judiciário responsável pelo caso, que pode rejeitá-la por falta de justa causa ou inépcia .","A denúncia ","é submetida à   ","análise do  órgão do  Judiciário responsável pelo  caso "," que pode rejeitá -la por falta de justa causa ou inépcia","1","0","","1","0","0","1","0"
"24","O pedreiro Vicente Barbatto Zacarias, 23, e a babá Adriana Aparecida Napolitano, 18, caíram de uma altura de cerca de 20 metros .","Vicente_Barbatto_Zacarias ","caíram de ","uma altura de cerca_de 20 metros ","","1","1","","1","0","0","0","0"
"25","Dólar comercial (exportações e importações): CR$ 363,950 (compra) e CR$ 363,960 (venda) .",".",".",".",".","","","","","","","",""
"26","As duas esquadras sofreram o mesmo número de infrações 47 .","As duas esquadras ","sofreram o mesmo número de ","infrações 47 ","","1","1","","1","0","0","0","0"
"27","Pode ser uma espécie de diretor-técnico do clube, com comando sobre todas as divisões .",".",".",".",".","","","","","","","",""
"28","O grau de adesão e respeito a essas normas está ligado aos atributos morais dos participantes .","respeito a essas normas ","está ligado aos   ","atributos morais dos  participantes ","","0","","1","1","0","0","0","0"
"29","Medeiros, que participou da reunião de ontem, disse que sua candidatura viabiliza a candidatura de Esperidião Amin à Presidência .","Medeiros ","disse que ","sua candidatura ","","0","","1.2","1","0","0","0","0"
"","","sua candidatura ","viabiliza a candidatura de ","Esperidião_Amin à  Presidência "," que participou da  reunião de ontem","1","1","","1","0","0","1","0"
"30","O Sintaema, sindicato que reúne funcionários da Sabesp, Cetesb e Fundação Florestal, decretou greve a partir da 0h de hoje .","sindicato ","reúne funcionários da   ","Sabesp ","","1","1","","1","0","0","0","0"
"","","sindicato ","reúne funcionários da   ","Cetesb ","","1","1","","1","0","0","0","0"
"","","sindicato ","reúne funcionários da   ","Fundação_Florestal ","","1","1","","1","0","0","0","0"
"","","O Sintaema ","decretou greve a_partir_da ","a 0h ","","1","1","","1","0","0","0","0"
"31","O diretor-presidente da Splice, Antonio Beldi, afirmou ontem que a prefeitura ainda não pagou os US$ 600 mil referentes à coleta de lixo no bairro da Penha (zona leste) nos meses de dezembro e janeiro .","O diretor-presidente da  Splice ","afirmou ontem que ","a prefeitura ","","0","","1","1","0","0","0","0"
"","","O diretor-presidente da  Antonio_Beldi ","afirmou ontem que ","a prefeitura ","","0","","1","1","0","0","0","0"
"","","a prefeitura "," não pagou os US$ 600 mil referentes à   ","coleta de lixo no  bairro da  Penha nos  meses de dezembro ","","1","0","","1","0","0","0","0"
"","","a prefeitura "," não pagou os US$ 600 mil referentes à   ","coleta de lixo no  bairro da  Penha nos  meses de janeiro ","","1","0","","1","0","0","0","0"
"","","zona ","leste ",") nos  meses ","","1","","2.7","1","0","0","0","0"
"32","Sebastião Zorzeto, da Administração Tributária da Secretaria da Fazenda de São Paulo, disse que o governo vai intensificar a cobrança de ICMS a partir de janeiro .","Sebastião_Zorzeto ","disse que ","o governo ","","0","","2","1","0","0","0","0"
"","","o governo ","vai intensificar a cobrança de ","ICMS a_partir_de janeiro ","","1","0","","1","0","0","0","0"
"33","Bentsen viaja à China este mês .","Bentsen ","viaja à   ","China ","","1","1","","1","0","0","0","0"
"","","Bentsen ","viaja à   ","mês ","","0","","1","1","0","0","0","0"
"34","A eventual vitória de Lula também não assusta o mercado como antes .","A eventual vitória de Lula "," não assusta ","o mercado "," como antes","1","1","","1","0","0","1","0"
"35","As boinas, que são um dos hits nas outras lojas, ocupam segundo lugar na Fit .","As boinas ","ocupam segundo lugar na   ","Fit ","","1","1","","1","0","0","0","0"
"36","O objetivo da comissão técnica é atenuar o desgaste físico do time principal, para que ele chegue às fases decisivas do campeonato (quartas-de-final, semifinais e finais) em condições físicas plenas .","O objetivo da  comissão técnica ","é atenuar o desgaste físico do   ","time principal "," para que ele chegue às  fases decisivas do  campeonato ( quartas-de-final","1","1","","1","0","0","1","0"
"37","Serviços de emergência como hospitais e prontos-socorros funcionarão normalmente nos três dias do feriado .","prontos-socorros ","funcionarão normalmente nos   ","três dias do  feriado ","","1","1","","1","0","0","0","0"
"38","Em 1970, saí daqui como burro, maluco, irresponsável por ter escalado Rivelino na ponta .","1970","saí de ","aqui "," como burro","0","","1.7","1","0","0","1","0"
"","","irresponsável ","ter escalado Rivelino na   ","ponta ","","1","1","","1","0","0","0","0"
"39","Comemorar que os subsídios na exportação agrícola serão reduzidos em 21% nos próximos seis anos, é muito difícil .","os subsídios na  exportação agrícola ","serão reduzidos em ","21 % nos  próximos seis anos ","","1","0","","1","0","0","0","0"
"","","21 % nos  próximos seis anos ","é muito ","difícil ","","0","","1","1","0","0","0","0"
"40","Por sua vez, o cinema de ficção foi reduzido de quinze filmes por ano para dois, produzidos para os mais jovens ou estreantes .","o cinema de ficção ","foi reduzido de ","quinze filmes por ano para dois ","","1","1","","1","0","0","0","0"
"41","Outra, muito diferente, é votar na estabilidade prometida e anunciada temporariamente engendrada, como está acontecendo no Brasil .","estabilidade "," prometida ","como está ","","0","","1","1","0","0","0","0"
"","","estabilidade "," anunciada  temporariamente engendrada","como está ","","0","","1","1","0","0","0","0"
"","","estabilidade "," prometida  e  anunciada  temporariamente  engendrada  como  estáacontecendo no   ","Brasil ","","0","","2","1","0","0","0","0"
"42","Os produtos alimentícios registraram elevação de 0,93%, acumulando retração de 0,10% em setembro .","Os produtos alimentícios ","registraram elevação de ","0.93%"," em setembro","1","1","","1","0","0","1","0"
"","","elevação de 0,93 % ","acumulando retração de ","0,10 % em ","","0","","1","1","0","0","0","0"
"43","O presidente Alberto Dualib, acompanhado dos jogadores Gralak, Tupãzinho, Viola, Zé Elias e Moacir e mais duas dezenas de conselheiros e diretores, recebeu do governador Luís Antônio Fleury Filho a cessão de um terreno próximo a Rodovia dos Trabalhadores, onde será construído um centro de treinamento .","Alberto_Dualib ","acompanhado dos   ","jogadores Gralak ","","1","1","","1","0","0","0","0"
"","","Alberto_Dualib ","acompanhado dos   ","jogadores Tupãzinho ","","1","1","","1","0","0","0","0"
"","","Alberto_Dualib ","acompanhado dos   ","jogadores Viola ","","1","1","","1","0","0","0","0"
"","","Alberto_Dualib ","acompanhado dos   ","jogadores Zé_Elias ","","1","1","","1","0","0","0","0"
"","","Alberto_Dualib ","acompanhado dos   ","jogadores Moacir ","","1","1","","1","0","0","0","0"
"","","Alberto_Dualib ","recebeu do   ","governador Luís_Antônio_Fleury_Filho ","","0","","1","1","0","0","0","0"
"44","No início do sequestro, havia sido pedido um resgate de US$ 12 milhões .","início do  ","havia sido pedido um resgate de ","US$ 12 ","","0","","7","1","0","0","0","0"
"45","As principais emissoras de rádio de São Paulo receberam a música na tarde de ontem .","As principais emissoras de rádio de São_Paulo ","receberam a música na   ","tarde ","","1","1","","1","0","0","0","0"
"46","O administrador eleito em 1992 morreu assassinado há um ano, a mando de seu vice .","O administrador ","eleito em ","1992","","1","1","","1","0","0","0","0"
"","","1992","morreu assassinado há ","um ano ","","0","","1","1","0","0","0","0"
"47","O Ministério da Previdência Social divulgou ontem a tabela em URV (Unidade Real de Valor) para recolhimento da contribuição previdenciária de março .","O Ministério_da_Previdência_Social ","divulgou ontem a tabela em ","URV para recolhimento da  contribuição previdenciária de março ","","1","0","","1","0","0","0","0"
"48","Os animais desaparecem porque a floresta, que é a casa deles, está sumindo .","Os animais ","desaparecem porque ","a floresta ","que é a casa","0","","","1","0","0","1","0"
"49","A partir de então, a Polícia Federal aumentou a fiscalização na região através da Delegacia Flutuante .","a Polícia_Federal ","aumentou a fiscalização na   ","região ","","1","1","","1","0","0","0","0"
"50","A empresa avaliou o sutiã em US$ 330 mil .","A empresa ","avaliou o sutiã em ","US$ 330 ","","0","","7","1","0","0","0","0"
"51","As duas manchetes de ontem no Jornal Nacional ajudam a enterrar a história de que Deus é brasileiro .","Jornal_Nacional ","ajudam a enterrar a história de ","Deus ","","0","","1","1","0","0","0","0"
"","","Deus ","é ","brasileiro ","","1","1","","1","0","0","0","0"
"52","Ninguém deve abrir mão do direito de qualidade .",".",".",".",".","","","","","","","",""
"53","A Grande Praça, o coração da cidade que já foi centro administrativo e religioso, é formada por um conjunto de templos, pirâmides e acrópoles .","que ","foi centro administrativo","religioso ","","0","","1","1","0","0","0","0"
"","","A Grande_Praça ","é formada por ","um conjunto de templos ","","1","1","","1","0","0","0","0"
"","","A Grande_Praça ","é formada por ","um conjunto de pirâmides ","","1","1","","1","0","0","0","0"
"","","A Grande_Praça ","é formada por ","um conjunto de acrópoles ","","1","1","","1","0","0","0","0"
"54","Para o Bank of America a opção foi a de não converter nenhum tostão .","a opção ","foi a de converter ","nenhum tostão ","Para o Bank of America ","1","1","","1","0","0","1","0"
"",""," a de não converter nenhum tostão "," foi","a opção ","","0","","5","0","0","1","0","0"
"55","Segundo Guardiano, 31, nenhum se forma hoje .",".",".",".",".","","","","","","","",""
"56","Materiais como a resina e a porcelana têm cor semelhante ao dente natural e podem substituir o amálgama (mistura metálica que produz obturações acizentadas) .","a porcelana ","têm cor semelhante ao   ","dente natural ","","1","1","","1","0","0","0","0"
"","","a porcelana ","podem substituir ","o amálgama ","","1","1","","1","0","0","0","0"
"57","Shakespeare Ah, um admirável mundo novo .",".",".",".",".","","","","","","","",""
"58","Luiz Eduardo Pinto Lima, Júlio Neves, Mário Pimenta Camargo e Henrique Falzoni pilotam amanhã na Hípica Paulista o lançamento do Center Shop São Bernardo .","Henrique_Falzoni ","pilotam amanhã na   ","Hípica_Paulista ","","1","1","","1","0","0","0","0"
"59","O diretor da Vigilância Sanitária, Luiz Antonio Jonke, diz que São Paulo é \um caso à parte\"" .""","O diretor da  Vigilância_Sanitária ","diz que ","São_Paulo ","","0","","1.2","1","0","0","0","0"
"","","O diretor da  Luiz_Antonio_Jonke ","diz que ","São_Paulo ","","0","","1.2","1","0","0","0","0"
"","","São_Paulo ","é ","\ um caso à ""","","0","","7","1","0","0","0","0"
"60","A temporada terminou com uma grande repercussão e o esporte viveu um novo momento de euforia .","A temporada ","terminou com ","uma grande repercussão ","","1","1","","1","0","0","0","0"
"","","o esporte ","viveu um novo momento de ","euforia ","","1","1","","1","0","0","0","0"
"61","O embaixador do Brasil em Washington mostrou tudo o que sabia sobre Mickey e sua turma ao prefeito de Paulinea .","embaixador do  Brasil em Washington ","sabia sobre ","Mickey ","","1","1","","1","0","0","0","0"
"62","Foi superado por Lula (PT), com 32% dos votos, Esperidião Amin (PPR), que teve 29,5%, e Leonel Brizola (PDT), com 11,9% .",".",".",".",".","","","","","","","",""
"63","Aos poucos, chegavam os Zamboni, os Tomasi, os Fitarelli, com suas tradições e, é claro, com cepas de videiras .",".",".",".",".","","","","","","","",""
"64","Nos primeiros três meses do ano, dos 308 menores que tiveram morte violenta, conforme apuração do Ceap, 243 eram meninos e 65 meninas.Em 1993, 19,18% das mortes violentas foram de meninas e 78,9%, de meninos .","308 menores ","tiveram ","morte violenta "," conforme apuração do  Ceap","1","1","","1","0","0","1","0"
"","","243","eram meninos","65 meninas .Em 1993 "," conforme apuração do  Ceap","1","1","","1","0","0","1","0"
"","","meninos ","eram meninos","65 meninas .Em 1993 "," conforme apuração do  Ceap","0","","2","1","0","0","1","0"
"","","19,18 % das  mortes violentas ","foram de ","meninas ","","1","1","","1","0","0","0","0"
"65","Rádio toca-fitas com frente destacável, teto solar, desembaçador com ar quente e cintos traseiros (laterais) retráteis de três pontos são opcionais .","retráteis de três pontos ","são ","opcionais ","","0","","1","1","0","0","0","0"
"66","Os empresários e empregados do ramo de papel em São Paulo, por exemplo, fundaram e administram um hospital de 220 leitos que custa, em média, apenas 10% do que a empresa recolhe para o INSS .","empregados do  ramo de papel em São_Paulo "," fundaram ","220 leitos "," em média","0","","5","1","0","0","1","0"
"","","empregados do  ramo de papel em São_Paulo "," administram  um  hospital  de","220 leitos "," em média","0","","5","1","0","0","1","0"
"","","um hospital de 220 leitos "," custa  apenas  10  %  do  ","a empresa ","","0","","1","1","0","0","0","0"
"","","a empresa ","recolhe para ","o INSS "," em média","0","","5","1","0","0","1","0"
"67","A não ser que haja uma disposição em contrário no documento coletivo da categoria profissional, os digitadores devem cumprir a jornada normal de 44 horas semanais, como diz a Constituição Federal .","os digitadores ","devem cumprir a jornada normal de ","44 horas "," como diz a Constituição_Federal","1","1","","1","0","0","1","0"
"68","Silvio José Pereira, um dos organizadores do comício, afirmou que o Diretório Municipal do PT fretou 120 ônibus para transportar militantes da Capital .","Silvio_José_Pereira ","afirmou que o Diretório_Municipal do   ","PT ","","0","","1","1","0","0","0","0"
"","","o Diretório_Municipal do  PT ","fretou 120 ônibus para transportar militantes da   ","Capital ","","1","0","","1","0","0","0","0"
"69","O prefeito, segundo colocado, teria de 27% a 30% dos votos .","O prefeito ","teria de ","27 % a 30 % dos  votos ","","1","1","","1","0","0","0","0"
"","","O prefeito ","não terou de","27 % a 30 % dos  votos ","","0","","6","0","0","0","0","1"
"","","O prefeito ","ainda não terou de","27 % a 30 % dos  votos ","","0","","6","0","0","0","0","1"
"70","Acham que ele tentará presidir o Senado ou ser ministro trombando com a meta do filho Luís Eduardo de presidir a Câmara .","ele ","tentará presidir o Senado","ministro trombando com a meta do  filho ","","0","","7","1","0","0","0","0"
"","","o Senado "," ser  ministro  trombando  com","a meta do  filho ","","0","","7","1","0","0","0","0"
"71","O esforço tem um objetivo determinado: tentar diminuir os números alarmantes dos problemas de coração no país .","O esforço ","tem ","um objetivo determinado ","","1","1","","1","0","0","0","0"
"","","um objetivo "," determinado  :  tentardiminuir os números alarmantes dos   ","problemas de coração no  país ","","0","","7","1","0","0","0","0"
"72","O ídolo nacional Hristo Stoichkov, provavelmente o maior craque da Bulgária em todos os tempos, está registrado no Barcelona da Espanha .","Hristo_Stoichkov ","está registrado no   ","Barcelona da  Espanha ","","1","0","","1","0","0","0","0"
"73","A queda das vendas em relação a março já era prevista pela indústria .","A queda das  vendas em relação a março ","era prevista pela   ","indústria ","","1","1","","1","0","0","0","0"
"74","Parágrafo 2º A partir da primeira emissão do Real, as atuais cédulas e moedas representativas do cruzeiro real continuarão em circulação como meios de pagamento até que sejam substituídas pela nova moeda no meio circulante, observada a paridade entre o cruzeiro real e o Real fixada pelo Banco Central do Brasil naquela data .","moedas representativas do  cruzeiro real ","continuarão em ","circulação "," como meios de pagamento até que sejam substituídas pela  nova moeda no  meio circulante","1","1","","1","0","0","1","0"
"","","Parágrafo 2º A_partir_da a primeira emissão do  Real ","observada a paridade entre ","o cruzeiro real ","","0","","1","1","0","0","0","0"
"","","o Real ","fixada pelo   ","Banco_Central do  Brasil naquela  data ","","0","","1","1","0","0","0","0"
"75","Irritado pela manobra arrojada e irresponsável, Prost fecha a entrada .","manobra ","arrojada","irresponsável ","","0","","7","1","0","0","0","0"
"","","Prost ","fecha ","a entrada ","","","","","1","0","0","0","0"
"76","Ele é presidente do Doctor's Data, laboratório que praticamente detém o monopólio da análise capilar no mundo .","Ele ","é presidente do   ","Doctor's_Data ","","1","1","","1","0","0","0","0"
"","","que ","detém o monopólio da   ","análise capilar no  mundo ","","0","","1","1","0","0","0","0"
"77","A história, contada por Peter Bogdanovich (e aqui miseravelmente resumida), dá conta da personalidade do diretor, famoso por sua afabilidade com os atores coadjuvantes e com a equipe e pela ferocidade com que tratava suas estrelas .","A história ","contada por ","Peter_Bogdanovich ","","1","1","","1","0","0","0","0"
"","","A história ","dá conta da   ","personalidade do  diretor ","","1","1","","1","0","0","0","0"
"","","ferocidade ","tratava ","suas estrelas ","","0","","1","1","0","0","0","0"
"78","A primeira final \japonesa\"" aconteceu em 92 .""","japonesa ","aconteceu em ","92","","0","","1","1","0","0","0","0"
"79","Ana Cristina Nogueira, 24, apostou na novidade .","Ana_Cristina_Nogueira ","apostou na   ","novidade ","","1","1","","1","0","0","0","0"
"","","24","apostou na   ","novidade ","","0","","1","1","0","0","0","0"
"80","A casa de quatro quartos, alugada pela própria Unesp, tem uma imensa infiltração de água na sala .","A casa de quatro quartos ","alugada pela   ","própria Unesp ","","1","1","","1","0","0","0","0"
"","","A casa de quatro quartos ","tem uma imensa infiltração de ","água na  sala ","","1","0","","1","0","0","0","0"
"81","Para a operação a PM destacou cerca de 2.000 homens .","a operação a PM ","destacou cerca_de ","2.000 homens ","","0","","1","1","0","0","0","0"
"82","Os consultados prevêem redução de interesse em investimentos no Brasil em favor do México .",".",".",".",".","","","","","","","",""
"83","O inglês Damon Hill venceu ontem no circuito do Estoril o GP de Portugal de F-1 e entrou na luta pelo título do Mundial .","Damon_Hill ","venceu ontem no   ","circuito do  Estoril ","","1","1","","1","0","0","0","0"
"","","Damon_Hill ","entrou na   ","luta pelo  título do  Mundial ","","1","1","","1","0","0","0","0"
"84","De olho nos resultados dos acordos internacionais Nafta e Mercosul, a Hometextil Americas, feira internacional de Frankfurt, lança terça-feira, no hotel Maksoud Plaza, em São Paulo, a Feira e Convenção Internacional de Decoração do Lar, que ocorrerá em Orlando (EUA), de 17 a 19 de maio, com o apoio do departamento de comércio dos EUA .","Mercosul ","lança ","terça-feira ","","0","","1","1","0","0","0","0"
"","","Convenção_Internacional_de_Decoração_do_Lar ","ocorrerá em ","Orlando "," em São_Paulo","0","","5","1","0","0","1","0"
"","","Convenção_Internacional_de_Decoração_do_Lar ","ocorrerá em ","EUA "," em São_Paulo","0","","5","1","0","0","1","0"
"85","A escolha tática depende também da situação do atacante Tiba, que atrasou no treino de sexta-feira e pode ser punido .","A escolha tática ","depende também da   ","situação do  atacante "," que atrasou no  treino de sexta-feira e pode ser punido","1","1","","1","0","0","1","0"
"86","Traduzindo em termos simples: nenhum político gosta de colocar azeitona na empada de seus adversários .","nenhum político ","gosta de colocar azeitona na   ","empada de seus adversários ","","1","1","","1","0","0","0","0"
"87","Em 82, a equipe estava em último lugar no Campeonato Paulista e o técnico conseguiu manter o time na divisão principal .","a equipe ","estava em ","último lugar no  Campeonato_Paulista ","Em 82","1","0","","1","0","0","1","0"
"","","o técnico ","conseguiu manter o time na   ","divisão principal ","Em 82","1","1","","1","0","0","1","0"
"88","O combustível ficará mais caro para consumidores .","O combustível ","ficará mais caro para ","consumidores ","","1","1","","1","0","0","0","0"
"89","Essa variante agressiva dos contos de fada toma como ponto de partida a história verídica de um grupo de jamaicanos que se dedica à aventura de formar uma equipe de trenó no gelo e competir nas Olimpíadas de 1988 .","Essa variante agressiva dos  contos de fada ","toma como ponto de ","partida a história verídica de um grupo de jamaicanos "," que se dedica à  aventura de formar uma equipe de trenó no  gelo e competir nas  Olimpíadas de 1988","1","","","1","0","0","1","0"
"","","aventura ","formar uma equipe de ","trenó no  gelo ","","0","","1","1","0","0","0","0"
"90","Dólar comercial (exportações e importações): CR$ 2.235,49 (compra) e CR$ 2.235,51 (venda) .",".",".",".",".","","","","","","","",""
"91","Esses 30 filmes dão bem a idéia do que foi a conturbada e vigorosa existência da RKO (1929-1958) que, entre outras, passou pelas mãos do milionário Howard Hughes .","Esses 30 filmes ","dão bem a idéia do   ","foi a conturbada e vigorosa existência da ","","0","","2","1","0","0","0","0"
"","","a idéia do "," foi  a  conturbada   ","RKO ","","0","","1","1","0","0","0","0"
"","","a idéia do "," vigorosa  existência  da  ","RKO ","","0","","1","1","0","0","0","0"
"","","a conturbada e vigorosa existência da  RKO ","passou pelas   ","mãos do  milionário ","","1","0","","1","0","0","0","0"
"",""," bem a idéia do  foi a conturbada e vigorosa existência da "," dão","Esses 30 filmes ","","0","","4","0","0","1","0","0"
"",""," a conturbada e vigorosa existência da  RKO "," foi","a idéia do ","","0","","4","0","0","1","0","0"
"92","O orgasmo nos homens que viraram mulher é bem mais comum, diz ele .","mais comum ","diz ","ele ","","0","","2","1","0","0","0","0"
"93","Segundo a UPI, em Londres a libra fechou cotada a US$ 1,5465, contra US$ 1,5455 no dia anterior .","a libra ","fechou cotada a ","US$ 1,5465 "," em Londres ","1","1","","1","0","0","1","0"
"94","A montadora também apresentou nos EUA sua linha de \sport utilities\, que inclui o Jeep Cherokee, o Jeep Grand Cherokee e o Jeep Wrangler, hoje disponíveis no Brasil apenas em importadores independentes .","A montadora ","apresentou nos   ","EUA "," que inclui o Jeep_Cherokee","0","","5","1","0","0","1","0"
"95","No caso, após atravessar a ponte Morumbi antiga, deve entrar à esquerda na avenida Dr. Chucri Zaidan .","caso ","deve entrar à   ","esquerda na  avenida ","","0","","1","1","0","0","0","0"
"96","Durante a semana, de novo se falou muito na saída eventual do seu treinador, Giovanni Trapattoni .","novo ","falou muito na   ","saída eventual do  seu treinador ","","0","","1","1","0","0","0","0"
"","","novo ","falou muito na   ","saída eventual do  seu Giovanni_Trapattoni ","","0","","1","1","0","0","0","0"
"97","Com bom-humor, Bell afirmou que todos os gols são culpa do goleiro .","Bell ","afirmou que ","todos os gols ","","0","","2","1","0","0","0","0"
"","","todos os gols ","são culpa do   ","goleiro ","","1","1","","1","0","0","0","0"
"98","O presidente da Febraban (Federação Brasileira das Associações de Bancos), Alcides Tápias, disse que deverá ser aumentada a incidência de imposto sobre as aplicações de curto prazo, como é o caso do fundão .","O presidente da  Febraban ","disse que deverá ser aumentada a incidência de ","imposto sobre as aplicações de curto prazo "," como é o caso do  fundão","1","0","","1","0","0","1","0"
"","","O presidente da  Federação_Brasileira_das_Associações_de_Bancos ","disse que deverá ser aumentada a incidência de ","imposto sobre as aplicações de curto prazo "," como é o caso do  fundão","1","0","","1","0","0","1","0"
"",""," o caso do  fundão "," é","O presidente da  Febraban ","","0","","4","0","0","1","0","0"
